"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-10","30","H,,S","40",",,W","26",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-11","30","H,,S","35",",,W","23",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-12","31","H,,S","40",",,W","18",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-13","19","H,,S","23",",,W","9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-14","24","H,,S","35",",,W","16",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-15","21","H,,S","27",",,W","5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-16","11","H,,S","23",",,W","5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-17","20","H,,S","27",",,W","16",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-18","23","H,,S","31",",,W","15",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-19","22","H,,S","27",",,W","9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-20","11","H,,S","21",",,W","3",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-21","21","H,,S","33",",,W","11",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-22","34","H,,S","43",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-23","29","H,,S","38",",,W","9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-24","13","H,,S","28",",,W","7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-25","28","H,,S","37",",,W","19",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-26","28","H,,S","32",",,W","23",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-27","25","H,,S","32",",,W","20",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-28","23","H,,S","31",",,W","15",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-01","26","H,,S","33",",,W","20",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-02","33","H,,S","39",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-03","29","H,,S","36",",,W","19",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-04","37","H,,S","41",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-05","33","H,,S","41",",,W","21",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-06","20","H,,S","25",",,W","13",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-07","26","H,,S","37",",,W","16",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-08","39","H,,S","48",",,W","30",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-09","42","H,,S","54",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-10","42","H,,S","50",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-11","49","H,,S","62",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-12","47","H,,S","50",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-13","37","H,,S","41",",,W","30",",,W"
